WordLabel,SyllLabel,PrimaryStress,SecondaryStress,SyllCV
have:,1_1,1,0,CVC
for:,1_1,1,0,CVC
turns,1_1,1,0,CVCC
which,1_1,1,0,CVC
from,1_1,1,0,CCVC
usually,1_3,1,0,CV
usually,2_3,1,0,CVC
usually,3_3,1,0,CV
they:,1_1,1,0,CVV
baby:,1_2,1,0,CVV
baby:,2_2,1,0,CV
ring,1_1,1,0,CVC
such,1_1,1,0,CVC
as,1_1,1,0,VC
thread,1_1,1,0,CCVC
pencils,1_2,1,0,CVC
pencils,2_2,1,0,CVCC
among,1_2,2,0,V
among,2_2,2,0,CVC
ideas,1_3,2,0,VV
ideas,2_3,2,0,CV
ideas,3_3,2,0,VC
it,1_1,1,0,VC
threads,1_1,1,0,CCVC
leave,1_1,1,0,CVC
it?,1_1,NA,NA,NA
raise,1_1,1,0,CVVC
grow,1_1,1,0,CCVV
up,1_1,1,0,VC
never:,1_2,1,0,CV
never:,2_2,1,0,CVC
never,1_2,1,0,CV
never,2_2,1,0,CVC
raised,1_1,1,0,CVVCC
usually:,1_3,1,0,CV
usually:,2_3,1,0,CVC
usually:,3_3,1,0,CV
popular,1_3,1,0,CV
popular,2_3,1,0,CVC
popular,3_3,1,0,CVC
than:,1_1,1,0,CVC
u?,1_1,NA,NA,NA
some:,1_1,1,0,CVC
one:,1_1,1,0,CVC
person,1_2,1,0,CVC
person,2_2,1,0,CVC
unlucky,1_3,2,0,VC
unlucky,2_3,2,0,CVC
unlucky,3_3,2,0,CV
u?,2_2,NA,NA,NA
help,1_1,1,0,CVCC
mind,1_1,1,0,CVVCC
happy,1_2,1,0,CV
happy,2_2,1,0,CV
hear,1_1,1,0,CVC
can't,1_1,1,0,CVCC
reason,1_2,1,0,CV
reason,2_2,1,0,CVC
we?,1_1,NA,NA,NA
feel:,1_1,1,0,CVC
conversation,1_4,3,1,CVC
conversation,2_4,3,1,CVC
conversation,3_4,3,1,CVV
conversation,4_4,3,1,CVC
FP,4_4,NA,NA,NA
but,4_4,1,0,CVC
apartment,1_3,2,0,V
apartment,2_3,2,0,CVCC
apartment,3_3,2,0,CVCC
seoul,1_2,12,0,CV
seoul,2_2,12,0,VC
but,3_3,NA,NA,NA
in,3_3,NA,NA,NA
pe?,1_1,NA,NA,NA
house,1_1,1,0,CVVC
bark,1_1,1,0,CVCC
too:,1_1,1,0,CV
loudly,1_2,1,0,CVVC
loudly,2_2,1,0,CV
want,1_1,1,0,CVCC
cat,1_1,1,0,CVC
e?,1_1,NA,NA,NA
future,1_2,1,0,CV
future,2_2,1,0,CVC
met,1_1,1,0,CVC
first,1_1,1,0,CVCCC
boyfriend,1_2,1,2,CVV
boyfriend,2_2,1,2,CCVCC
student,1_2,1,0,CCV
student,2_2,1,0,CVCC
about:,1_2,2,0,V
about:,2_2,2,0,CVVC
course,1_1,1,0,CVCC
per?,3_3,NA,NA,NA
last,1_1,1,0,CVCC
everyone,1_3,1,3,V
everyone,2_3,1,3,CCV
everyone,3_3,1,3,CVC
enter,1_2,1,0,VC
enter,2_2,1,0,CVC
university,1_4,3,1,CV
university,2_4,3,1,CV
university,3_4,3,1,CVCC
university,4_4,3,1,CV
difficult,1_3,1,0,CV
difficult,2_3,1,0,CV
difficult,3_3,1,0,CVCC
practice,1_2,1,0,CCVC
practice,2_2,1,0,CVC
actually,1_3,1,2,VC
actually,2_3,1,2,CVC
actually,3_3,1,2,CV
advice,1_2,2,0,VC
advice,2_2,2,0,CVVC
mathmatics,1_3,NA,NA,NA
mathmatics,2_3,NA,NA,NA
mathmatics,3_3,NA,NA,NA
now:,1_1,1,0,CVV
connect,1_2,2,0,CV
connect,2_2,2,0,CVCC
forget,1_2,2,0,CVC
forget,2_2,2,0,CVC
for?,1_1,NA,NA,NA
?get,1_1,NA,NA,NA
every,1_1,NA,NA,NA
thinks,1_1,1,0,CVCCC
very:,1_1,NA,NA,NA
thank,1_1,1,0,CVCC
today's,1_2,2,0,CV
today's,2_2,2,0,CVVC
aspect,1_2,1,2,VC
aspect,2_2,1,2,CVCC
culture,1_2,1,0,CVC
culture,2_2,1,0,CVC
home,1_1,1,0,CVC
unite,1_2,1,2,CV
unite,2_2,1,2,VVC
state,1_1,1,0,CCVVC
felt,1_1,1,0,CVCC
a lot,1_2,2,0,V
a lot,2_2,2,0,CVC
differences,1_4,1,0,CV
differences,2_4,1,0,CV
differences,3_4,1,0,CVC
differences,4_4,1,0,CVC
different,1_3,1,0,CV
different,2_3,1,0,CV
different,3_3,1,0,CVCC
working:,1_2,1,0,CVC
working:,2_2,1,0,CVC
there,1_1,1,0,CVC
are:,1_1,1,0,VC
clear,1_1,1,0,CCVC
hierarchy,1_4,1,3,CVV
hierarchy,2_4,1,3,V
hierarchy,3_4,1,3,CV
hierarchy,4_4,1,3,CV
job,1_1,1,0,CVC
USA,1_3,123,0,CV
USA,2_3,123,0,VC
USA,3_3,123,0,VV
isn't,1_2,1,0,V
isn't,2_2,1,0,CVCC
example,1_3,2,0,VC
example,2_3,2,0,CVC
example,3_3,2,0,VCV
serve,1_1,1,0,CVCC
who:,1_1,1,0,CV
provide,1_2,2,0,CCV
provide,2_2,2,0,CVVC
services,1_3,1,0,CVC
services,2_3,1,0,CV
services,3_3,1,0,CVC
said,1_1,1,0,CVC
sorry,1_2,1,0,CV
sorry,2_2,1,0,CV
who,2_2,NA,NA,NA
works,1_1,1,0,CVCCV
p?,1_1,NA,NA,NA
work,1_1,1,0,CVCC
service,1_2,1,0,CVC
service,2_2,1,0,CVC
field,1_1,1,0,CVCC
same:,1_1,1,0,CVVC
Korean,1_3,2,1,CV
Korean,2_3,2,1,CV
Korean,3_3,2,1,VC
thought,1_1,1,0,CVC
there're,1_1,NA,NA,NA
lude,1_1,1,0,CVC
wasn't,1_2,1,0,CV
wasn't,2_2,1,0,CVCC
a?,1_1,NA,NA,NA
don't:,1_1,1,0,CVCC
america,1_4,2,0,V
america,2_4,2,0,CV
america,3_4,2,0,CV
america,4_4,2,0,CV
clear ,1_1,1,0,CCVC
working,1_1,NA,NA,NA
difference,1_3,1,0,CV
difference,2_3,1,0,CV
difference,3_3,1,0,CVCC
facts,1_1,1,0,CVCC
wannna,1_1,NA,NA,NA
attitude,1_3,1,3,V
attitude,2_3,1,3,CV
attitude,3_3,1,3,CVC
shop,1_1,1,0,CVC
especially:,1_4,2,0,VC
especially:,2_4,2,0,CV
especially:,3_4,2,0,CVC
especially:,4_4,2,0,CV
such ,1_1,1,0,CVC
clerk,1_1,1,0,CCVCC
waiters,1_2,1,0,CVV
waiters,2_2,1,0,CVCC
must,1_1,1,0,CVCC
much,1_1,1,0,CVC
Korea,1_3,2,1,CV
Korea,2_3,2,1,CV
Korea,3_3,2,1,V
there're,3_3,NA,NA,NA
saying,1_1,1,0,
customer,1_3,1,0,CVC
customer,2_3,1,0,CV
customer,3_3,1,0,CVC
king,1_1,1,0,CVC
therefore:,1_1,NA,NA,NA
people:,1_2,1,0,CV
people:,2_2,1,0,CVC
therefore:,2_2,NA,NA,NA
clerks,1_1,1,0,CCVCCC
usually,1_4,1,0,CV
usually,2_4,1,0,CV
usually,3_4,1,0,VC
usually,4_4,1,0,CV
allow,1_2,2,0,V
allow,2_2,2,0,CVV
argue,1_2,1,0,VC
argue,2_2,1,0,CV
customers,1_3,1,0,CVC
customers,2_3,1,0,CV
customers,3_3,1,0,CVCC
compared,1_2,2,0,CVC
compared,2_2,2,0,CVCC
man,1_1,1,0,CVC
say:,1_1,1,0,CVV
mi?,1_1,NA,NA,NA
mistake,1_2,2,0,CVC
mistake,2_2,2,0,CVVC
understand,1_3,3,1,VC
understand,2_3,3,1,CVC
understand,3_3,3,1,CCVCC
conclusion,1_3,2,0,CVC
conclusion,2_3,2,0,CCV
conclusion,3_3,2,0,CVC
same,1_1,1,0,CVVC
US,1_2,12,0,CV
US,2_2,12,0,VC
similar,1_3,1,0,CV
similar,2_3,1,0,CVC
similar,3_3,1,0,CVC
walmart,1_2,1,2,CVC
walmart,2_2,1,0,CVCC
grocery,1_3,1,0,CCV
grocery,2_3,1,0,CV
grocery,3_3,1,0,CV
store,1_1,1,0,CCVC
like?,1_1,NA,NA,NA
giant,1_2,1,0,CVV
giant,2_2,1,0,VCC
eagle,1_2,1,0,V
eagle,2_2,1,0,CVC
